guid,pubDate_local,hour_bucket,style,cta,title_len,desc_len,title_emoji_ct,desc_emoji_ct,has_number,has_question,quote_count,bullet_count,has_hashtag,likes,replies,reposts,impressions,clicks,saves,eng_score,title_sample,link,b_title_len,b_emoji
7f165d80ee781598e800bcb9bcb6cd8293ad6a58,2025-11-16T15:19:30+00:00,late-afternoon,stats_insight,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=7f165d80ee781598e800bcb9bcb6cd8293ad6a58,<= 120,2
1ce08387c74b1a1c4868948d68c3b36eba29592d,2025-11-16T01:59:45+00:00,night,stats_insight,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=1ce08387c74b1a1c4868948d68c3b36eba29592d,<= 120,2
ffcc17f96c2bbe77bb22d2473f1aba23d30c2a35,2025-11-15T19:13:26+00:00,evening,framework,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=ffcc17f96c2bbe77bb22d2473f1aba23d30c2a35,<= 120,2
9cee4e4dce3f6819529cb6c280fb3149533d5099,2025-11-15T19:07:14+00:00,evening,framework,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=9cee4e4dce3f6819529cb6c280fb3149533d5099,<= 120,2
fbed101197097f77f24737cafc7843d9f1cdb435,2025-11-15T15:19:33+00:00,late-afternoon,quick_win,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=fbed101197097f77f24737cafc7843d9f1cdb435,<= 120,2
8b5fe6ab775d6bd1c420c3b9107b40dce72aed8e,2025-11-14T20:09:15+00:00,evening,mistake_avoid,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=8b5fe6ab775d6bd1c420c3b9107b40dce72aed8e,<= 120,2
af052ce6f8ec92f4d9361542cbbfeff1d1b3ef02,2025-11-14T14:20:07+00:00,early-afternoon,how_to,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=af052ce6f8ec92f4d9361542cbbfeff1d1b3ef02,<= 120,2
1ae2e5130a2ce7292a7c2948a0b05cf1592076e6,2025-11-13T23:05:40+00:00,night,mistake_avoid,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=1ae2e5130a2ce7292a7c2948a0b05cf1592076e6,<= 120,2
bf40de49bd0ddd3d7c1be9265e194df2c1cf62f0,2025-11-13T23:02:14+00:00,night,mistake_avoid,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=bf40de49bd0ddd3d7c1be9265e194df2c1cf62f0,<= 120,2
eeb70f69469ad82c9a5f330db63ef04124e2719a,2025-11-13T21:43:51+00:00,evening,tool_tip,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=eeb70f69469ad82c9a5f330db63ef04124e2719a,<= 120,2
8d8d8cea7d87223466dda6f1a2c46f22b9ba0f61,2025-11-13T20:01:29+00:00,evening,tool_tip,question,96,194,2,5,1,1,2,4,1,0,0,0,0,0,0,0.0,🤖 AI can automate 70% of repetitive tasks in your business. Start with one workflow this week. 🚀,https://scalepilot.com/?p=8d8d8cea7d87223466dda6f1a2c46f22b9ba0f61,<= 120,2
